,"byte_size","ORChooser","k-gram","1/byte_size"
0,32660,1.584656085,1.029366106,1.24960196
1,29532,2.286259542,1.1755084,1.381958553
2,40812,1,1,1
3,29532,2.286259542,1.1755084,1.381958553
4,32696,1.39953271,1.028959276,1.248226083
5,40812,1,1,1
6,29532,2.286259542,1.1755084,1.381958553
7,28916,3.040609137,1.177938571,1.411398534
8,37712,1.508816121,1.012310939,1.082201952
9,40812,1,1,1
10,40812,1,1,1
11,30636,1.721264368,1.171537671,1.332158245
12,40424,1.006722689,1.001739332,1.009598258
13,37548,1.508816121,1.012310939,1.086928731
14,37524,1.508816121,1.012310939,1.087623921
15,32696,1.402810305,1.029491657,1.248226083
16,40812,1,1,1
17,30636,1.721264368,1.171537671,1.332158245
18,32696,1.402810305,1.029491657,1.248226083
19,40812,1,1,1
20,40812,1,1,1
21,38500,1.296536797,1.014205212,1.060051948
22,37580,1.539845758,1.014809591,1.086003193
23,29532,2.286259542,1.1755084,1.381958553
24,38500,1.296536797,1.014205212,1.060051948
25,37712,1.508816121,1.012310939,1.082201952
26,40812,1,1,1
27,29532,2.286259542,1.1755084,1.381958553
28,29584,2.286259542,1.175854953,1.379529475
29,29532,2.286259542,1.1755084,1.381958553
30,40812,1,1,1
31,38644,1.285407725,1.012429644,1.056101853
32,32660,1.584656085,1.029366106,1.24960196
33,40812,1,1,1
34,40812,1,1,1
35,30636,1.721264368,1.171537671,1.332158245
36,40812,1,1,1
37,37500,1.551813471,1.016592139,1.08832
38,28824,3.720496894,1.177295542,1.415903414
39,29532,2.286259542,1.1755084,1.381958553
40,31128,1.938511327,1.036733099,1.311102544
41,32660,1.584656085,1.029366106,1.24960196
42,30316,2.52742616,1.039441034,1.346219818
43,37728,1.508816121,1.012548376,1.081743003
44,30532,1.932258064,1.172966613,1.336695926
45,40812,1,1,1
46,30636,1.721264368,1.171537671,1.332158245
47,38404,1.285407725,1.012429644,1.062701802
48,29476,2.194139194,1.133352535,1.384584068
49,38452,1.285407725,1.012429644,1.061375221
